network,station id,start_date,end_date, lat,lon,elev,element,state,county,basin,site_name,site_info_link,cdbs_id,shef_id,gmt_offset
snotel,1267,8/28/2014,1/1/2100,61.75,-150.89,160,Snow Water Equivalent,AK,Matanuska-susitna,Headwaters Alexander Creek,Alexander Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1267,50M01S  ,ALXA2,9
snotel,1189,8/4/2011,1/1/2100,64.79,-141.23,1050,Snow Water Equivalent,AK,Southeast Fairbanks,American Creek,American Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1189,41P07S  ,AMCA2,9
snotel,1062,10/1/1980,1/1/2100,59.86,-151.32,1653,Snow Water Equivalent,AK,Kenai Peninsula,Headwaters Anchor River,Anchor River Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1062,51K05S  ,ARDA2,9
snotel,1070,10/1/2004,1/1/2100,61.11,-149.67,2080,Snow Water Equivalent,AK,Anchorage,South Fork Campbell Creek,Anchorage Hillside,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1070,49M22S  ,HILA2,9
snotel,1182,10/1/1980,1/1/2100,66.92,-151.53,640,Snow Water Equivalent,AK,Yukon-koyukuk,Jack White Creek-Koyukuk River,Bettles Field,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1182,51R01S  ,BFLA2,9
snotel,1260,9/28/2020,1/1/2100,64.76,-147.22,500,Snow Water Equivalent,AK,Fairbanks North Star,1.90803E+11,Chena Lakes,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1260,47P06   ,CLNA2,9
snotel,1093,10/1/2007,1/1/2100,62.07,-142.05,3320,Snow Water Equivalent,AK,Valdez-cordova,Red Hill Creek-Chisana River,Chisana,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1093,42N01S  ,CNAA2,9
snotel,958,10/1/1994,1/1/2100,67.25,-150.18,1040,Snow Water Equivalent,AK,Yukon-koyukuk,Slate Creek,Coldfoot,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=958,50S01S  ,COFA2,9
snotel,959,10/1/1981,1/1/2100,60.39,-149.69,1200,Snow Water Equivalent,AK,Kenai Peninsula,Kenai Lake,Cooper Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=959,49L10S  ,CORA2,9
snotel,1302,8/13/2021,1/1/2100,64.87,-147.74,440,Snow Water Equivalent,AK,Fairbanks North Star,Chena River,Creamers Field,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1302,47P07S  ,SCFA2,9
snotel,953,12/17/2019,1/1/2100,61.6,-149.1,230,Snow Water Equivalent,AK,Matanuska-susitna,Outlet Matanuska River,East Palmer,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=953,        ,     ,9
snotel,1092,7/8/2011,1/1/2100,60.19,-149.62,400,Snow Water Equivalent,AK,Kenai Peninsula,Oulet Resurrection River,Exit Glacier,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1092,49L18S  ,EXGA2,9
snotel,1174,10/1/1982,10/28/2020,64.85,-147.8,450,Snow Water Equivalent,AK,Fairbanks North Star,Chena River,Fairbanks F.O.,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1174,47P03S  ,FOFA2,9
snotel,1268,8/7/2014,1/1/2100,63.2,-145.63,3000,Snow Water Equivalent,AK,Valdez-cordova,Fielding Lake,Fielding Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1268,45O01S  ,FLDA2,9
snotel,1285,8/15/2017,1/1/2100,59.4,-136.28,2510,Snow Water Equivalent,AK,Haines,Porcupine Creek,Flower Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1285,36K01S  ,FLOA2,9
snotel,641,10/1/2019,1/1/2100,61.75,-149.27,2700,Snow Water Equivalent,AK,Matanuska-susitna,Fishhook Creek-Little Susitna River,Frostbite Bottom,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=641,        ,FBBA2,9
snotel,429,8/16/2018,1/1/2100,64.7,-156.71,410,Snow Water Equivalent,AK,Yukon-koyukuk,Louden Slough-Yukon River,Galena AK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=429,        ,GANA2,9
snotel,956,10/1/1990,1/1/2100,60.61,-149.06,1100,Snow Water Equivalent,AK,Kenai Peninsula,Headwaters Trail Creek,Grandview,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=956,49L09S  ,GRVA2,9
snotel,963,10/1/1988,1/1/2100,63.94,-145.4,1240,Snow Water Equivalent,AK,Southeast Fairbanks,Granite Creek,Granite Crk,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=963,45O04S  ,GCKA2,9
snotel,964,10/1/1996,1/1/2100,60.26,-149.34,700,Snow Water Equivalent,AK,Kenai Peninsula,South Fork Snow River,Grouse Creek Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=964,49L14S  ,GCRA2,9
snotel,2222,10/1/2018,1/1/2100,62.41,-145.38,1830,Snow Water Equivalent,AK,Valdez-cordova,Boulder Lake-Gulkana River,Gulkana River,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2222,        ,GSNA2,9
snotel,1270,8/6/2015,1/1/2100,58.7,-134.86,2065,Snow Water Equivalent,AK,Juneau,Davies Creek,Heen Latinee,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1270,34J07S  ,DCSA2,9
snotel,1091,10/1/1997,1/1/2100,61.79,-149.28,3550,Snow Water Equivalent,AK,Matanuska-susitna,Fishhook Creek-Little Susitna River,Independence Mine,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1091,49M26S  ,HATA2,9
snotel,946,10/1/1979,1/1/2100,61.07,-149.48,2350,Snow Water Equivalent,AK,Anchorage,Headwaters Ship Creek,Indian Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=946,49M08S  ,INPA2,9
snotel,1275,10/1/2015,1/1/2100,64.15,-141.33,3585,Snow Water Equivalent,AK,Southeast Fairbanks,Kal Creek,Jack Wade Jct,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1275,41PP8S  ,JWJA2,9
snotel,1072,9/11/2019,1/1/2100,63.54,-150.99,1550,Snow Water Equivalent,AK,Denali,Moose Creek,Kantishna,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1072,50O01S  ,KTSA2,9
snotel,1175,10/1/1992,1/1/2100,67.93,-162.28,310,Snow Water Equivalent,AK,Northwest Arctic,190504030802-Noatak River,Kelly Station,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1175,62S01S  ,KLLA2,9
snotel,966,10/1/1988,1/1/2100,60.73,-150.48,300,Snow Water Equivalent,AK,Kenai Peninsula,Upper Moose River,Kenai Moose Pens,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=966,50L02S  ,KMPA2,9
snotel,947,10/1/1980,1/1/2100,65.12,-146.73,2000,Snow Water Equivalent,AK,Fairbanks North Star,190803060706-Little Chena River,Little Chena Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=947,46Q02S  ,LCHA2,9
snotel,1001,10/1/1966,1/1/2100,58.19,-133.83,850,Snow Water Equivalent,AK,Juneau,190102060505-Dawes Glacier,Long Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1001,33J01S  ,LLKA2,9
snotel,1096,10/1/2006,1/1/2100,61.35,-142.71,1610,Snow Water Equivalent,AK,Valdez-cordova,Lower Young Creek,May Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1096,42M01S  ,SNCA2,9
snotel,785,9/10/2019,1/1/2100,62.95,-155.61,340,Snow Water Equivalent,AK,Yukon-koyukuk,Town of McGrath-Kuskokwim River,McGrath,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=785,55N01S  ,MCSA2,9
snotel,1003,10/1/1986,1/1/2100,59.74,-151.25,1320,Snow Water Equivalent,AK,Kenai Peninsula,Swift Creek-Frontal Kachemak Bay,Mcneil Canyon,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1003,51K14S  ,MCNA2,9
snotel,1094,8/27/2018,1/1/2100,63.31,-147.65,2710,Snow Water Equivalent,AK,Matanuska-susitna,West Fork Susitna River,Monahan Flat,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1094,47O01S  ,MNFA2,9
snotel,949,10/1/1980,1/1/2100,65.08,-145.87,1850,Snow Water Equivalent,AK,Fairbanks North Star,Monument Creek,Monument Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=949,45Q02S  ,MNCA2,9
snotel,1035,10/1/2001,1/1/2100,61.38,-149,2100,Snow Water Equivalent,AK,Anchorage,Eklutna Lake,Moraine,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1035,48M04S  ,MORA2,9
snotel,1103,10/1/1972,1/1/2100,60.96,-149.09,1540,Snow Water Equivalent,AK,Anchorage,Glacier Creek,Mt. Alyeska,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1103,49L01S  ,YESA2,9
snotel,1073,10/1/2004,1/1/2100,60.55,-145.75,1405,Snow Water Equivalent,AK,Valdez-cordova,Orca Inlet-Frontal Prince William Sound,Mt. Eyak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1073,45L01S  ,EYKA2,9
snotel,948,10/1/1980,1/1/2100,65.25,-146.15,2800,Snow Water Equivalent,AK,Fairbanks North Star,Headwaters West Fork Chena River,Mt. Ryan,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=948,46Q01S  ,MTRA2,9
snotel,950,10/1/1980,1/1/2100,64.85,-146.21,3100,Snow Water Equivalent,AK,Fairbanks North Star,Rock Creek-Chena River,Munson Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=950,46P01S  ,MSOA2,9
snotel,1301,7/27/2021,1/1/2100,62.83,-141.41,2010,Snow Water Equivalent,AK,Southeast Fairbanks,190803010807-Black Hills,Paradise Hill,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1301,41N02S  ,SPHA2,9
snotel,1002,10/1/1998,8/27/2015,61.39,-150.03,250,Snow Water Equivalent,AK,Matanuska-susitna,Stephan Lake-Goose Creek,Point Mackenzie,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1002,50M03S  ,PTMA2,9
snotel,987,10/1/1999,1/1/2100,59.35,-151.85,300,Snow Water Equivalent,AK,Kenai Peninsula,Port Graham-Frontal Cook Inlet,Port Graham,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=987,51K15S  ,PGRA2,9
snotel,2044,6/25/2018,10/14/2019,61.66,-149.13,580,Snow Water Equivalent,AK,Matanuska-susitna,Outlet Matanuska River,Spring Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2044,        ,SCPA2,9
snotel,955,10/1/1988,1/1/2100,60.62,-149.53,1400,Snow Water Equivalent,AK,Kenai Peninsula,Headwaters Canyon Creek,Summit Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=955,49L19S  ,SUUA2,9
snotel,967,10/1/1987,1/1/2100,62.13,-150.04,375,Snow Water Equivalent,AK,Matanuska-susitna,Little Montana Creek-Montana Creek,Susitna Valley High,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=967,50N07S  ,SUVA2,9
snotel,1266,7/9/2014,1/1/2100,60.98,-153.92,1275,Snow Water Equivalent,AK,Bethel,Upper Telaquana River,Telaquana Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1266,53L01S  ,TQUA2,9
snotel,951,10/1/1980,1/1/2100,64.95,-145.52,1640,Snow Water Equivalent,AK,Fairbanks North Star,Teuchet Creek,Teuchet Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=951,45P03S  ,TEUA2,9
snotel,2080,8/16/2017,1/1/2100,63.35,-142.98,1630,Snow Water Equivalent,AK,Southeast Fairbanks,Tanacross,Tok,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2080,SC2080  ,TOSA2,9
snotel,1089,10/1/2005,1/1/2100,62.63,-150.78,850,Snow Water Equivalent,AK,Matanuska-susitna,Upper Tokositna River,Tokositna Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1089,50N05S  ,TKVA2,9
snotel,954,10/1/1981,1/1/2100,60.78,-149.18,1880,Snow Water Equivalent,AK,Kenai Peninsula,Granite Creek,Turnagain Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=954,49L13S  ,TUGA2,9
snotel,952,10/1/1985,1/1/2100,65.1,-144.93,2850,Snow Water Equivalent,AK,Fairbanks North Star,Headwaters Middle Fork Chena River,Upper Chena,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=952,44Q07S  ,UCEA2,9
snotel,1090,9/10/2019,1/1/2100,65.37,-146.59,2520,Snow Water Equivalent,AK,Yukon-koyukuk,Sumner Creek-Nome Creek,Upper Nome Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1090,46Q07S  ,UNCA2,9
snotel,1055,10/1/2002,1/1/2100,61.19,-145.65,1750,Snow Water Equivalent,AK,Valdez-cordova,Middle Tsina River,Upper Tsaina River,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1055,45M07S  ,UPPA2,9
snotel,308,10/1/1978,1/1/2100,34.46,-111.41,7300,Snow Water Equivalent,AZ,Gila,Pine Creek,Baker Butte,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=308,11R06S  ,BKBA3,8
snotel,1140,5/18/2009,1/1/2100,34.46,-111.38,7700,Snow Water Equivalent,AZ,Coconino,Toms Creek,Baker Butte Smt,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1140,11R07S  ,BBSA3,8
snotel,310,10/1/1978,1/1/2100,33.98,-109.5,9125,Snow Water Equivalent,AZ,Apache,Hall Creek-Little Colorado River,Baldy,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=310,09S01S  ,BLDA3,8
snotel,1212,9/6/2012,1/1/2100,34.86,-111.61,6393,Snow Water Equivalent,AZ,Coconino,Bar M Canyon,Bar M,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1212,11R13S  ,BRMA3,8
snotel,902,10/1/1993,1/1/2100,33.69,-109.22,7990,Snow Water Equivalent,AZ,Greenlee,Upper Beaver Creek,Beaver Head,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=902,09S06S  ,XBHA3,8
snotel,1143,10/1/2009,1/1/2100,36.33,-109.06,9200,Snow Water Equivalent,AZ,Apache,Tsaile Creek-Tsaile Lake,Beaver Spring,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1143,09N05S  ,BVRA3,8
snotel,1139,5/15/2009,1/1/2100,35.26,-112.06,7100,Snow Water Equivalent,AZ,Coconino,Pitman Valley-Scholz Lake,Chalender,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1139,12P01S  ,CDRA3,8
snotel,416,10/1/1978,1/1/2100,33.8,-109.15,8400,Snow Water Equivalent,AZ,Apache,Coleman Creek,Coronado Trail,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=416,09S07S  ,CNDA3,8
snotel,1121,6/26/2008,1/1/2100,35.27,-111.74,7350,Snow Water Equivalent,AZ,Coconino,Upper Rio de Flag,Fort Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1121,11P02S  ,FRVA3,8
snotel,488,10/1/1978,1/1/2100,35.07,-111.84,7200,Snow Water Equivalent,AZ,Coconino,Fry Canyon,Fry,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=488,11P13S  ,FRYA3,8
snotel,511,10/1/1978,1/1/2100,33.65,-109.31,9020,Snow Water Equivalent,AZ,Greenlee,Upper Beaver Creek,Hannagan Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=511,09S11S  ,HNMA3,8
snotel,969,6/13/1999,1/1/2100,34.75,-111.41,7630,Snow Water Equivalent,AZ,Coconino,Brady Canyon,Happy Jack,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=969,11R05S  ,XHJA3,8
snotel,1271,9/18/2015,1/1/2100,33.97,-109.77,8300,Snow Water Equivalent,AZ,Apache,Trout Creek,Hawley Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1271,09S16S  ,HAWA3,8
snotel,519,10/1/1978,1/1/2100,34.31,-110.75,7640,Snow Water Equivalent,AZ,Coconino,West Fork Black Canyon,Heber,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=519,10R04S  ,HBEA3,8
snotel,617,10/1/1978,1/1/2100,33.92,-109.46,9200,Snow Water Equivalent,AZ,Apache,Upper West Fork Black River,Maverick Fork,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=617,09S02S  ,MVFA3,8
snotel,640,10/1/1978,1/1/2100,34.94,-111.52,7500,Snow Water Equivalent,AZ,Coconino,Mormon Lake,Mormon Mountain,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=640,11R03S  ,MRMA3,8
snotel,1125,6/2/2008,1/1/2100,34.97,-111.51,8500,Snow Water Equivalent,AZ,Coconino,Walnut Creek-Upper Lake Mary,Mormon Mtn Summit,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1125,11R12S  ,MMNA3,8
snotel,1127,6/2/2008,1/1/2100,33.9,-109.16,8500,Snow Water Equivalent,AZ,Apache,San Francisco River-Luna Lake,Nutrioso,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1127,09S04S  ,NUTA3,8
snotel,705,10/1/1979,1/1/2100,34.37,-111.01,7930,Snow Water Equivalent,AZ,Coconino,Upper Willow Creek,Promontory,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=705,11R10S  ,PROA3,8
snotel,927,9/13/1997,1/1/2100,35.34,-111.65,9730,Snow Water Equivalent,AZ,Coconino,Bear Jaw Canyon,Snowslide Canyon,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=927,11P08S  ,XSCA3,8
snotel,861,10/1/1978,1/1/2100,35.14,-112.15,7180,Snow Water Equivalent,AZ,Coconino,Upper Hell Canyon,White Horse Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=861,12P02S  ,WHLA3,8
snotel,866,10/1/1983,1/1/2100,33.76,-109.48,7850,Snow Water Equivalent,AZ,Greenlee,Centerfire Creek,Wildcat,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=866,09S18S  ,WCTA3,8
snotel,877,10/1/1978,1/1/2100,33.81,-110.92,6900,Snow Water Equivalent,AZ,Gila,Workman Creek,Workman Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=877,10S01S  ,WKMA3,8
snotel,301,10/1/1983,1/1/2100,41.24,-120.79,6190,Snow Water Equivalent,CA,Modoc,Cottonwood Creek,Adin Mtn,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=301,20H13S  ,ADMC1,8
snotel,356,10/1/1979,1/1/2100,38.61,-119.92,8067,Snow Water Equivalent,CA,Alpine,Deer Creek,Blue Lakes,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=356,19L05S  ,BLAC1,8
snotel,1051,9/21/2003,1/1/2100,38.72,-119.89,8129,Snow Water Equivalent,CA,Alpine,Hot Springs Creek,Burnside Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1051,19L41S  ,BSKC1,8
snotel,1067,9/23/2004,1/1/2100,38.69,-120,8360,Snow Water Equivalent,CA,Alpine,Caples Creek,Carson Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1067,19L45S  ,CXSC1,8
snotel,391,10/1/1978,1/1/2100,41.58,-120.3,7030,Snow Water Equivalent,CA,Modoc,Thoms Creek,Cedar Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=391,20H06S  ,CDRC1,8
snotel,977,10/1/1999,1/1/2100,41.89,-120.75,5170,Snow Water Equivalent,CA,Modoc,Mosquito Creek-Willow Creek,Crowder Flat,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=977,20H02S  ,CRWC1,8
snotel,428,10/1/1980,1/1/2100,39.33,-120.37,6894,Snow Water Equivalent,CA,Nevada,Rattlesnake Creek-South Yuba River,Css Lab,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=428,20K31S  ,CSSC1,8
snotel,446,10/1/1979,1/1/2100,41.99,-120.18,7360,Snow Water Equivalent,CA,Modoc,Dismal Creek-Deep Creek,Dismal Swamp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=446,20H12S  ,DMLC1,8
snotel,462,10/1/1978,1/1/2100,38.55,-119.8,8661,Snow Water Equivalent,CA,Alpine,Silver Creek,Ebbetts Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=462,19L19S  ,EBTC1,8
snotel,463,10/1/1978,1/1/2100,38.85,-120.08,7653,Snow Water Equivalent,CA,El Dorado,Upper Truckee River-Frontal Lake Tahoe,Echo Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=463,20L06S  ,ECOC1,8
snotel,473,10/1/1978,1/1/2100,38.93,-120.05,6242,Snow Water Equivalent,CA,El Dorado,Fallen Leaf Lake-Frontal Lake Tahoe,Fallen Leaf,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=473,20L10S  ,FLFC1,8
snotel,1049,9/20/2003,1/1/2100,38.68,-119.96,8017,Snow Water Equivalent,CA,Alpine,Upper West Fork Carson River,Forestdale Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1049,19L43S  ,FDCC1,8
snotel,1277,10/7/2016,1/1/2100,40.69,-120.61,7208,Snow Water Equivalent,CA,Lassen,Lower Dry Lake-Frontal Eagle Lake,Fredonyer Peak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1277,20J01S  ,FPKC1,8
snotel,508,10/1/1978,1/1/2100,38.85,-119.94,7742,Snow Water Equivalent,CA,El Dorado,Trout Creek,Hagans Meadow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=508,19L03S  ,HGNC1,8
snotel,518,10/1/1978,1/1/2100,38.92,-119.92,8534,Snow Water Equivalent,CA,El Dorado,Trout Creek,Heavenly Valley,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=518,19L24S  ,HVNC1,8
snotel,1050,9/21/2003,1/1/2100,38.84,-119.89,8557,Snow Water Equivalent,CA,Alpine,Middle West Fork Carson River,Horse Meadow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1050,19L44S  ,HORC1,8
snotel,539,10/1/1978,1/1/2100,39.45,-120.29,6980,Snow Water Equivalent,CA,Sierra,Independence Creek,Independence Camp,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=539,20K04S  ,ICPC1,8
snotel,540,10/1/1979,1/1/2100,39.49,-120.28,6436,Snow Water Equivalent,CA,Sierra,Independence Creek,Independence Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=540,20K03S  ,ICKC1,8
snotel,541,10/1/1978,1/1/2100,39.43,-120.31,8338,Snow Water Equivalent,CA,Nevada,Sagehen Creek,Independence Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=541,20K05S  ,ILKC1,8
snotel,574,10/1/1988,1/1/2100,38.28,-119.61,9604,Snow Water Equivalent,CA,Mono,Leavitt Creek-West Walker River,Leavitt Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=574,19L38S  ,LELC1,8
snotel,575,10/1/1979,1/1/2100,38.3,-119.55,7198,Snow Water Equivalent,CA,Mono,Leavitt Creek-West Walker River,Leavitt Meadows,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=575,19L08S  ,LVTC1,8
snotel,587,10/1/1978,1/1/2100,38.44,-119.37,9249,Snow Water Equivalent,CA,Mono,Deep Creek,Lobdell Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=587,19L17S  ,LOBC1,8
snotel,633,10/1/1989,1/1/2100,38.67,-119.61,8306,Snow Water Equivalent,CA,Alpine,Leviathan Canyon,Monitor Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=633,19L40S  ,MNPC1,8
snotel,784,10/1/1979,1/1/2100,39.19,-120.27,8013,Snow Water Equivalent,CA,Placer,Squaw Creek-Truckee River,Palisades Tahoe,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=784,20K30S  ,SQWC1,8
snotel,697,10/1/1979,1/1/2100,38.51,-119.63,7736,Snow Water Equivalent,CA,Alpine,Bryant Creek-East Fork Carson River,Poison Flat,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=697,19L06S  ,XXXC1,8
snotel,724,10/1/1979,1/1/2100,39,-120.13,7619,Snow Water Equivalent,CA,El Dorado,General Creek-Frontal Lake Tahoe,Rubicon #2,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=724,20L02S  ,RUBC1,8
snotel,771,10/1/1978,1/1/2100,38.31,-119.6,8770,Snow Water Equivalent,CA,Mono,Leavitt Creek-West Walker River,Sonora Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=771,19L07S  ,SRAC1,8
snotel,778,10/1/1979,1/1/2100,38.67,-119.82,6063,Snow Water Equivalent,CA,Alpine,Hot Springs Creek,Spratt Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=778,19L39S  ,SPCC1,8
snotel,1258,6/17/2014,1/1/2100,41.99,-120.72,5680,Snow Water Equivalent,CA,Modoc,Weed Valley-North Fork Willow Creek,State Line,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1258,20H01S  ,TATC1,8
snotel,1052,9/22/2003,1/1/2100,38.4,-119.54,9313,Snow Water Equivalent,CA,Alpine,Mill Creek,Summit Meadow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1052,19L42S  ,SDWC1,8
snotel,809,10/1/1979,1/1/2100,39.17,-120.15,6797,Snow Water Equivalent,CA,Placer,Burton Creek-Frontal Lake Tahoe,Tahoe City Cross,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=809,20K27S  ,THOC1,8
snotel,834,10/1/1979,1/1/2100,39.3,-120.18,6509,Snow Water Equivalent,CA,Placer,Martis Creek,Truckee #2,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=834,20K13S  ,TRUC1,8
snotel,846,10/1/1978,1/1/2100,38.07,-119.23,9400,Snow Water Equivalent,CA,Mono,Virginia Creek,Virginia Lakes Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=846,19L13S  ,VGAC1,8
snotel,848,10/1/1978,1/1/2100,39.14,-120.22,6745,Snow Water Equivalent,CA,Placer,Ward Creek-Frontal Lake Tahoe,Ward Creek #3,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=848,20K25S  ,WRDC1,8
snotel,303,10/1/1979,1/1/2100,37.33,-105.07,10000,Snow Water Equivalent,CO,Huerfano,Middle Creek-Cucharas River,Apishapa,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=303,05M07S  ,APSC2,8
snotel,1030,8/14/2002,1/1/2100,40.35,-106.35,10960,Snow Water Equivalent,CO,Grand,Rabbit Ears Creek-Troublesome Creek,Arapaho Ridge,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1030,06J08S  ,ARPC2,8
snotel,305,10/1/1978,10/1/2013,39.92,-105.76,9680,Snow Water Equivalent,CO,Grand,Upper Fraser River,Arrow,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=305,05K06S  ,AROC2,8
snotel,322,10/1/1979,1/1/2100,40.31,-105.65,9500,Snow Water Equivalent,CO,Larimer,Glacier Creek,Bear Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=322,05J39S  ,BLKC2,8
